COD_EMPRESA;COD_EMPLEADO;NIF;APELLIDOS_NOMBRE;FECHA_ALTA;FECHA_BAJA;CENTRO
0213;00057;39689784P;FONTANA BOSCH, ARNAU;2017-12-19;;CENTRAL
0213;00253;55864807G;GARCÍA HERRERA, ALBA;2014-06-07;;OFICINA
0213;00303;70825091A;SERRA CASALS, IKER;2016-03-15;;NAVE 2
0213;00060;93414034F;CABRERA PÉREZ, MARC;2023-07-08;;OFICINA
0213;00217;19219771N;RIERA GARCÍA, FATIMA;2022-03-14;;NAVE 2
0213;00158;12024232K;BOSCH MARTÍNEZ, BERTA;2014-04-22;;NAVE 2
0214;00244;39627235Y;GARCÍA ORTEGA, JÚLIA;2014-09-10;;CENTRAL
0214;00039;89970124P;HERRERA ORTEGA, MOHAMED;2022-05-26;;OFICINA
0214;00111;68804725X;SERRA DURAN, JÚLIA;2016-02-02;;NAVE 2
0214;00226;99000043B;CABRERA GARCÍA, ORIOL;2018-02-22;;NAVE 2
0214;00036;28577254T;FERRER IGLESIAS, CLÀUDIA;2015-02-13;;OFICINA
0214;00286;78103277Q;RIERA BOSCH, FATIMA;2017-01-31;;CENTRAL
0215;00207;13170063H;BOSCH HERRERA, FERRAN;2016-09-15;;OFICINA
0215;00084;98293508E;DURAN BOSCH, SERGI;2021-02-10;;CENTRAL
0216;00118;67724245H;ROCA HERRERA, ELENA;2019-11-01;;NAVE 2
0216;00272;65414537Y;DELGADO VILA, ALBA;2018-03-19;;NAVE 2
0216;00241;33050519L;VILA MAS, FATIMA;2014-12-02;2022-04-22;CENTRAL
0216;00064;98091654F;VILA SERRA, ELENA;2021-01-28;;NAVE 2
0216;00041;38958949Z;DURAN HERRERA, FATIMA;2014-07-12;;CENTRAL
0216;00114;80672172Y;LÓPEZ PÉREZ, LAIA;2024-06-13;;OFICINA
0216;00138;59516841R;SÁNCHEZ BOSCH, ROGER;2017-07-06;2025-09-22;OFICINA
0216;00246;80261834Y;PÉREZ LÓPEZ, CARLA;2021-09-29;2022-11-02;NAVE 2
0216;00242;76802618Q;FONTANA FONTANA, LUCÍA;2021-03-02;;CENTRAL
0217;00125;49948993P;CABRERA MAS, MARC;2014-04-12;;NAVE 2
0217;00170;91329858W;FERRER RIERA, LAIA;2014-10-14;2017-12-30;CENTRAL
0217;00036;45524183D;RIERA NOGUEIRA, JÚLIA;2024-05-27;;NAVE 2
0217;00141;10685255M;PÉREZ DURAN, FATIMA;2022-10-26;;CENTRAL
0218;00038;85292678G;ORTEGA MAS, FATIMA;2014-09-01;2016-08-28;CENTRAL
0218;00253;62566410Y;RIERA GARCÍA, ORIOL;2017-04-14;;CENTRAL
0218;00279;17504118H;CABRERA CASALS, PAU;2018-04-01;2023-12-17;CENTRAL
0218;00168;24914677W;NOGUEIRA CASALS, ORIOL;2019-11-20;;OFICINA
0218;00022;73892720R;GARCÍA NOGUEIRA, ROGER;2017-05-07;;CENTRAL
0218;00032;13802655N;MARTÍNEZ BOSCH, PAU;2014-11-09;;OFICINA
0218;00291;16390592E;ORTEGA FONTANA, CARLA;2019-03-27;2024-03-22;OFICINA
0219;00122;37126360J;CASALS ORTEGA, PAU;2014-10-16;2015-12-10;CENTRAL
0219;00009;63215882V;DELGADO BOSCH, GUILLEM;2024-10-09;;CENTRAL
0219;00077;17947753G;HERRERA CASALS, CARLA;2021-05-30;;OFICINA
0219;00173;85523021A;SERRA SÁNCHEZ, ANDREI;2016-09-10;;CENTRAL
0219;00304;10234805G;SERRA CABRERA, ELENA;2014-05-04;;OFICINA
0219;00182;77074923R;CABRERA BOSCH, MOHAMED;2017-12-05;;NAVE 2
0219;00147;33655942S;RIERA VILA, FERRAN;2018-01-28;2024-03-27;CENTRAL
0219;00035;35016947F;IGLESIAS CASALS, NÚRIA;2014-05-08;;CENTRAL
0220;00176;56595740F;GARCÍA VILA, BERTA;2022-05-12;;NAVE 2
0220;00024;86900551F;IGLESIAS GARCÍA, MOHAMED;2023-02-20;;OFICINA
0220;00120;26101868E;NOGUEIRA GARCÍA, MARC;2024-07-13;;CENTRAL
0220;00125;33332711N;SÁNCHEZ GARCÍA, ARIADNA;2015-11-08;;NAVE 2
0220;00074;17235158J;MARTÍNEZ GARCÍA, ARIADNA;2024-05-18;;NAVE 2
0220;00218;41355974B;NOGUEIRA BOSCH, ALBA;2020-03-08;;NAVE 2
0221;00298;47905962S;ORTEGA DURAN, ANDREI;2023-11-20;;NAVE 2
0221;00295;71868847K;DURAN SÁNCHEZ, AINA;2021-06-18;;NAVE 2
0221;00207;28037929V;RIERA GARCÍA, SERGI;2023-06-19;;OFICINA
0221;00118;89281569F;SOLER FONTANA, JÚLIA;2025-02-16;;OFICINA
0221;00083;83872346G;SERRA ORTEGA, MARC;2022-03-28;;CENTRAL
0221;00023;15022910X;GARCÍA VILA, IKER;2024-04-12;;NAVE 2
0222;00059;10164165K;BOSCH ORTEGA, LUCÍA;2021-02-11;;CENTRAL
0222;00075;79618060X;VILA FERRER, FERRAN;2023-07-13;;NAVE 2
0222;00015;84810067A;DELGADO NOGUEIRA, MARC;2014-03-11;;NAVE 2
0222;00292;71634340N;ORTEGA NOGUEIRA, BRUNO;2021-12-16;;NAVE 2
0222;00157;13789108N;FONTANA CASALS, CLÀUDIA;2014-11-24;;NAVE 2
0222;00055;37277618P;HERRERA FERRER, MOHAMED;2021-10-23;;OFICINA
0222;00005;81878693W;CASALS SOLER, BRUNO;2023-01-21;;OFICINA
0222;00126;16526825E;CABRERA MAS, IKER;2015-02-06;;CENTRAL
0223;00292;46019901N;PRIETO CABRERA, JÚLIA;2019-10-24;;OFICINA
0223;00259;95255128W;LÓPEZ CASALS, ORIOL;2014-04-12;;OFICINA
0224;00276;87687201W;MARTÍNEZ DELGADO, MOHAMED;2016-12-27;;NAVE 2
0224;00020;26147691X;CASALS PRIETO, NÚRIA;2015-01-08;;CENTRAL
0224;00296;49750718N;VILA BOSCH, PAU;2021-12-14;;CENTRAL
0224;00089;45604687P;MAS DELGADO, BRUNO;2022-06-15;;CENTRAL
0224;00182;26587029H;MARTÍNEZ PÉREZ, MARC;2025-02-20;;CENTRAL
0225;00160;16804374B;SÁNCHEZ CABRERA, LAIA;2018-10-17;2026-10-24;CENTRAL
0225;00277;71122581L;PÉREZ VILA, ORIOL;2022-05-11;;CENTRAL
0225;00151;89126504H;LÓPEZ ROCA, LUCÍA;2014-06-15;;NAVE 2
0225;00201;98204943Z;DELGADO FONTANA, ARNAU;2020-08-30;;NAVE 2
0225;00108;49054060Y;BOSCH DELGADO, SERGI;2016-08-31;;OFICINA
0225;00305;39545182W;ROCA CASALS, ARNAU;2022-03-18;;OFICINA
0225;00022;13283076V;DELGADO PRIETO, ARNAU;2024-12-21;2026-02-21;NAVE 2
0225;00150;49507846H;FONTANA VILA, NÚRIA;2015-09-22;;OFICINA
0225;00278;92077801Q;PRIETO SÁNCHEZ, ARIADNA;2017-08-13;;NAVE 2
0226;00036;98894772V;HERRERA LÓPEZ, PAU;2017-11-01;;OFICINA
0226;00265;48369223G;SÁNCHEZ FONTANA, JÚLIA;2020-08-05;2022-11-26;CENTRAL
0226;00162;65595988T;SOLER SOLER, ROGER;2023-01-29;;NAVE 2
0226;00137;86894785L;DURAN IGLESIAS, CLÀUDIA;2015-03-24;;CENTRAL
0226;00243;95658281Z;IGLESIAS SÁNCHEZ, MARC;2017-05-22;;CENTRAL
0226;00245;84884260P;FONTANA PÉREZ, JÚLIA;2025-05-12;;OFICINA
0226;00096;57089055P;CABRERA SÁNCHEZ, GUILLEM;2023-12-09;;OFICINA
0226;00255;71827510D;MARTÍNEZ SERRA, PAU;2023-09-11;;OFICINA
0226;00252;74848912R;ORTEGA ROCA, RAÚL;2019-11-21;;NAVE 2
0227;00099;18566980P;CASALS DELGADO, ALBA;2016-08-18;;NAVE 2
0227;00260;12541175K;BOSCH MAS, JÚLIA;2019-07-14;;CENTRAL
0227;00295;87820002S;PRIETO SOLER, GUILLEM;2014-02-09;;CENTRAL
0227;00061;20125640F;SERRA FONTANA, SERGI;2025-02-05;;OFICINA
0227;00244;74336334T;LÓPEZ ORTEGA, FATIMA;2019-09-19;;NAVE 2
0227;00218;47471832A;BOSCH IGLESIAS, BRUNO;2021-04-06;;CENTRAL
0228;00230;40356351P;ORTEGA NOGUEIRA, BERTA;2016-02-26;;OFICINA
0228;00260;15303089H;RIERA FERRER, IKER;2024-11-14;;CENTRAL
0228;00059;29276262T;RIERA BOSCH, BRUNO;2020-11-14;2023-09-16;NAVE 2
0228;00096;81792410E;RIERA PÉREZ, MARC;2024-01-11;;NAVE 2
0228;00288;51793593R;SERRA DELGADO, ARNAU;2019-10-22;;CENTRAL
0228;00123;77480717S;RIERA FERRER, LUCÍA;2022-12-17;;OFICINA
0228;00209;75041756L;SOLER SÁNCHEZ, LAIA;2018-08-16;;NAVE 2
0228;00263;63497995J;CABRERA PRIETO, CARLA;2021-01-10;;CENTRAL
0229;00116;43769569S;PÉREZ SOLER, MARC;2023-02-08;;CENTRAL
0229;00152;90947030V;FERRER MARTÍNEZ, PAU;2023-11-23;;NAVE 2
0229;00002;32126780T;GARCÍA CASALS, MOHAMED;2016-07-18;2020-03-06;NAVE 2
0229;00090;33635197Q;CASALS BOSCH, ROGER;2024-12-07;;OFICINA
0229;00081;60862750J;CABRERA DURAN, CARLA;2020-07-31;;OFICINA
0229;00026;11416999G;ROCA PÉREZ, BERTA;2014-05-24;;NAVE 2
0229;00190;15719338S;FERRER BOSCH, LAIA;2024-08-20;;CENTRAL
0230;00007;68257724R;FERRER SÁNCHEZ, JÚLIA;2025-06-14;;NAVE 2
0230;00286;20536206T;RIERA DURAN, ELENA;2024-12-24;;NAVE 2
0230;00243;80311120S;NOGUEIRA NOGUEIRA, GUILLEM;2021-01-17;;NAVE 2
0230;00206;97781044V;BOSCH SÁNCHEZ, ORIOL;2024-03-08;;CENTRAL
0230;00255;32509933H;BOSCH IGLESIAS, CLÀUDIA;2018-11-29;;CENTRAL
0230;00165;50658559L;GARCÍA ORTEGA, ARIADNA;2014-09-19;;OFICINA
0230;00148;36289265D;BOSCH HERRERA, ARIADNA;2023-02-14;;CENTRAL
0230;00134;35642732W;LÓPEZ SÁNCHEZ, LAIA;2023-02-12;;CENTRAL
0231;00256;54578555P;SÁNCHEZ GARCÍA, JÚLIA;2022-05-04;;NAVE 2
0231;00267;85319804Z;CABRERA ROCA, CLÀUDIA;2017-03-28;;CENTRAL
0231;00232;16167721C;FERRER VILA, ARIADNA;2016-11-06;;CENTRAL
0232;00071;54821752Y;BOSCH MARTÍNEZ, BRUNO;2023-02-15;;NAVE 2
0232;00200;31082134G;IGLESIAS ROCA, NÚRIA;2016-09-03;;NAVE 2
0232;00099;32744737L;IGLESIAS LÓPEZ, MARC;2016-12-11;;OFICINA
0232;00053;22473619C;CABRERA PRIETO, JÚLIA;2017-02-27;;CENTRAL
0232;00100;13197594T;HERRERA HERRERA, IKER;2025-02-21;;OFICINA
0233;00115;27129810Q;MAS RIERA, ALBA;2015-07-23;;NAVE 2
0233;00208;39938272F;FERRER IGLESIAS, BRUNO;2023-09-10;;CENTRAL
0233;00275;61694809G;ROCA NOGUEIRA, NÚRIA;2020-09-16;2021-09-22;NAVE 2
0234;00098;37483381R;ROCA SOLER, ANDREI;2024-11-11;;CENTRAL
0234;00253;51630232Q;HERRERA HERRERA, BERTA;2023-10-03;;CENTRAL
0234;00042;37903466C;SOLER SERRA, CLÀUDIA;2020-03-20;;OFICINA
0234;00052;58943343S;BOSCH PRIETO, FERRAN;2024-08-03;;CENTRAL
0234;00006;87991029H;VILA PRIETO, ALBA;2015-05-24;;OFICINA
0234;00044;89034457Y;HERRERA PÉREZ, ELENA;2017-07-23;;NAVE 2
0235;00152;44882098Z;SÁNCHEZ DELGADO, BRUNO;2020-12-03;;NAVE 2
0235;00207;52833711R;SOLER CASALS, CARLA;2023-12-15;2025-08-30;CENTRAL
0235;00215;97600677G;DELGADO RIERA, LAIA;2022-02-27;;CENTRAL
0235;00171;28651874H;DURAN SOLER, ELENA;2016-03-29;2023-07-19;NAVE 2
0236;00024;80272736F;PRIETO RIERA, MARC;2015-09-08;;OFICINA
0236;00295;22543993M;SOLER RIERA, CARLA;2023-06-13;;NAVE 2
0236;00205;75164469D;ROCA PRIETO, CARLA;2020-05-28;;CENTRAL
0237;00256;87960120Q;PÉREZ PRIETO, MARC;2018-01-09;;OFICINA
0237;00057;29505075X;DURAN SOLER, JÚLIA;2016-09-30;;NAVE 2
0237;00218;22053575Q;ROCA LÓPEZ, LAIA;2022-11-12;;NAVE 2
0237;00211;97119535Y;ORTEGA GARCÍA, ANDREI;2019-05-24;;OFICINA
0237;00159;91273364C;ORTEGA IGLESIAS, ELENA;2018-05-10;;CENTRAL
0237;00217;85911955B;GARCÍA CASALS, NÚRIA;2014-05-12;;NAVE 2
0237;00118;66643190A;SERRA FERRER, IKER;2017-08-25;;CENTRAL
0238;00167;61686375E;SÁNCHEZ PÉREZ, NÚRIA;2016-11-16;;NAVE 2
0238;00039;33234087C;IGLESIAS IGLESIAS, JÚLIA;2014-11-01;;OFICINA
0238;00253;11431194R;MAS LÓPEZ, ANDREI;2025-03-19;;CENTRAL
0238;00075;30367532F;CABRERA IGLESIAS, JÚLIA;2023-12-03;;CENTRAL
0238;00181;22237920J;FONTANA RIERA, ARNAU;2016-09-28;;NAVE 2
0238;00016;45225182X;NOGUEIRA IGLESIAS, MARC;2022-02-02;;CENTRAL
0238;00306;72697633H;ROCA FONTANA, PAU;2016-02-01;;OFICINA
0238;00044;14040223K;CASALS HERRERA, ALBA;2022-12-02;;OFICINA
0238;00220;80676367F;ROCA DURAN, SERGI;2023-07-25;;CENTRAL
0239;00149;68705298J;MARTÍNEZ RIERA, IKER;2020-11-18;;CENTRAL
0239;00067;89963476S;SERRA CASALS, ALBA;2018-07-27;;CENTRAL
0240;00108;27019514A;SÁNCHEZ CABRERA, GUILLEM;2022-05-03;;NAVE 2
0240;00011;37483434K;GARCÍA ROCA, RAÚL;2024-05-03;;OFICINA
0240;00289;30046927N;BOSCH NOGUEIRA, RAÚL;2017-11-17;;NAVE 2
0241;00226;32768874Y;DURAN PRIETO, CLÀUDIA;2016-08-23;;OFICINA
0241;00223;90325800W;NOGUEIRA MARTÍNEZ, ELENA;2021-09-02;;CENTRAL
0241;00086;70110665D;DELGADO BOSCH, ROGER;2017-04-18;;OFICINA
0241;00207;27729330P;HERRERA IGLESIAS, MOHAMED;2022-05-04;;OFICINA
0241;00061;97299452L;SOLER SÁNCHEZ, PAU;2017-09-24;2023-02-21;NAVE 2
0241;00011;47113796M;MARTÍNEZ CABRERA, ARIADNA;2025-03-14;;OFICINA
0241;00038;67610415P;FONTANA PÉREZ, BERTA;2017-07-31;;OFICINA
0241;00208;11569813A;SERRA SOLER, CLÀUDIA;2016-08-09;;NAVE 2
0241;00091;97964525T;MARTÍNEZ ROCA, IKER;2014-07-24;;NAVE 2
0242;00121;66167073Y;SÁNCHEZ RIERA, ELENA;2021-10-11;;NAVE 2
0242;00089;10363038D;MAS FONTANA, CLÀUDIA;2015-06-19;;CENTRAL
0242;00273;69177833K;BOSCH DURAN, FERRAN;2017-11-25;;NAVE 2
0242;00083;94803108X;CASALS RIERA, BERTA;2019-02-05;;OFICINA
0242;00116;68730123A;IGLESIAS PRIETO, ANDREI;2018-11-20;;OFICINA
0242;00255;72849743E;ROCA FONTANA, LUCÍA;2024-10-26;;OFICINA
0242;00239;47646729V;FONTANA SÁNCHEZ, ARIADNA;2020-06-04;;NAVE 2
0242;00198;80621244E;HERRERA IGLESIAS, ARNAU;2014-03-09;2014-12-11;NAVE 2
0242;00268;88910718B;IGLESIAS BOSCH, ALBA;2024-11-19;;CENTRAL
0243;00045;40698196Z;SOLER SÁNCHEZ, JÚLIA;2019-10-18;;CENTRAL
0243;00099;38405720E;DELGADO SERRA, FERRAN;2021-01-12;;NAVE 2
0243;00158;70985855L;FONTANA LÓPEZ, RAÚL;2018-07-09;2023-06-05;CENTRAL
0243;00093;91241586M;VILA IGLESIAS, RAÚL;2017-03-31;;CENTRAL
0243;00108;10831512F;FERRER RIERA, BERTA;2025-05-16;;NAVE 2
0243;00073;61589585N;ORTEGA NOGUEIRA, GUILLEM;2024-05-12;;CENTRAL
0244;00208;10352334M;RIERA FERRER, IKER;2018-10-04;2021-12-25;CENTRAL
0244;00019;68579223B;SÁNCHEZ SERRA, AINA;2024-10-21;;NAVE 2
0244;00083;42939037V;IGLESIAS SERRA, BERTA;2024-07-02;;CENTRAL
0244;00251;43287652L;LÓPEZ FONTANA, GUILLEM;2025-04-25;;OFICINA
0245;00021;42196900F;MARTÍNEZ SERRA, JÚLIA;2019-05-17;;CENTRAL
0245;00070;77069086N;MAS SÁNCHEZ, ORIOL;2019-03-05;;OFICINA
0245;00307;24304394D;MAS DURAN, ORIOL;2023-01-23;;CENTRAL
0246;00284;13380924E;CABRERA PÉREZ, ORIOL;2022-11-04;;OFICINA
0246;00293;10666750H;HERRERA HERRERA, ANDREI;2016-03-02;;CENTRAL
0247;00209;26057784V;CABRERA GARCÍA, LAIA;2014-03-27;;OFICINA
0247;00081;47882647T;HERRERA DURAN, CLÀUDIA;2024-02-03;;OFICINA
0247;00074;89246775L;ROCA VILA, MARC;2018-10-28;;CENTRAL
0247;00040;79367159F;IGLESIAS DELGADO, NÚRIA;2020-09-28;2022-05-11;OFICINA
0247;00137;52012015J;IGLESIAS FERRER, FERRAN;2018-10-01;;OFICINA
0247;00071;39089421D;DURAN ORTEGA, RAÚL;2014-12-27;;CENTRAL
0247;00256;12054814W;GARCÍA VILA, ALBA;2017-07-20;;NAVE 2
0248;00038;72247808J;RIERA LÓPEZ, ALBA;2022-05-26;;CENTRAL
0248;00179;92185377E;SOLER DURAN, CLÀUDIA;2018-04-29;2025-06-15;NAVE 2
0248;00238;49570502Y;DURAN BOSCH, RAÚL;2018-04-12;;CENTRAL
0248;00041;80877052V;MARTÍNEZ PRIETO, ELENA;2021-04-13;;NAVE 2
0248;00122;92326639C;IGLESIAS CASALS, MOHAMED;2022-11-26;;CENTRAL
0248;00187;59917908F;FONTANA NOGUEIRA, ELENA;2023-04-07;;CENTRAL
0249;00252;90218959D;PRIETO PRIETO, JÚLIA;2015-12-02;;CENTRAL
0249;00116;50913914K;CABRERA GARCÍA, SERGI;2021-03-31;;OFICINA
0249;00132;43183107E;IGLESIAS FONTANA, FERRAN;2018-10-21;2023-10-10;CENTRAL
